,participant,LYTIS_1,religija_1,shs_1,shs_2,shs_3,shs_4,score_1,vaikyste_1,vaikyste_2,vaikyste_3,vaikyste_4,vg_1,DN1_1,DN1_2,DN1_3,DN1_4,DN1_5,DN1_6,DN1_7,DN1_8,DN1_9,DN1_10,DN1_11,DN1_12,DN1_13,DN1_14,DN1_15,DN1_16,DN1_17,DN1_18,DN1_19,DN1_20,DN1_21,DN1_22,DN1_23,DN1_24,DN1_25,DN1_26,DN1_27,DN1_28,DN1_29,DN1_30,DN1_31,DN1_32,DN1_33,DN1_34,DN1_35,pripazinimas_1,meile_1,pasiekimai_1,perfekcionizmas_1,atlygiolaukimas_1,galia_1,autonomija_1,TIME_start,TIME_end,TIME_total
20,s.4e5ee5a3-da1d-46c6-955f-99b5c8de2732.txt,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-09-28,,
21,s.adbac38e-84d5-4507-a739-78b1741f6354.txt,1.0,1.0,5.0,5.0,5.0,7.0,5.5,5.0,6.0,4.0,4.0,4.75,2.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,0.0,-4.0,-4.0,3.0,3.0,-6.0,-1.0,2023-12-12-07-46,2023-12-12-12-50,304.0
22,s.9a6c531f-208c-4fd9-931e-569a4bd6b4a0.txt,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-06-53,,
23,s.cb0a3b53-a498-42a5-b269-b66584ef66f8.txt,1.0,3.0,4.0,5.0,3.0,5.0,4.25,7.0,7.0,4.0,7.0,6.25,4.0,1.0,2.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0,4.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,5.0,0.0,-10.0,-5.0,4.0,4.0,-3.0,3.0,2023-12-02-10-42,2023-12-02-10-51,9.0
24,s.f8f2c9aa-be69-44d1-89b9-725502803a9a.txt,1.0,7.0,7.0,7.0,7.0,6.0,6.75,6.0,4.0,3.0,6.0,4.75,4.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,-7.0,-5.0,0.0,-4.0,-1.0,-1.0,2024-03-01-08-14,,
25,s.9664f3d7-97cc-4d4b-8d1e-2d6a46ec2d83.txt,1.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,-4.0,-5.0,-6.0,-6.0,-3.0,-7.0,0.0,2023-12-02-08-41,2023-12-02-08-47,6.0
26,s.4a0c0bdd-120c-48a2-9fd9-24e4a928d218.txt,1.0,4.0,5.0,5.0,3.0,6.0,4.75,1.0,3.0,1.0,1.0,1.5,1.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,-6.0,0.0,-2.0,0.0,4.0,2023-12-03-13-43,,
27,s.f5a700f2-a3b1-4e0b-a3fd-b1aced253176.txt,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-07-44,,
28,s.1963dc90-78f7-4fc1-ad7d-5ef0c6e0e9f5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01-08-28,,
29,s.e8d2421f-ca68-48a4-8f69-6f06e31b5960.txt,2.0,5.0,5.0,5.0,4.0,7.0,5.25,7.0,7.0,5.0,7.0,6.5,3.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,-3.0,-9.0,-9.0,-7.0,-4.0,-4.0,-5.0,2023-12-27-19-17,,
30,s.88073966-0507-4782-a850-8ef3118fbc4d.txt,2.0,5.0,3.0,3.0,4.0,6.0,4.0,3.0,2.0,4.0,4.0,3.25,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,-1.0,-2.0,6.0,5.0,2.0,1.0,-5.0,2023-12-03-15-30,2023-12-03-15-48,18.0
31,s.5a6a1e02-d816-4bf9-9c26-ee4b24083105.txt,2.0,6.0,6.0,6.0,7.0,3.0,5.5,5.0,4.0,4.0,6.0,4.75,1.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,1.0,-3.0,2.0,3.0,3.0,-2.0,0.0,2023-12-12-01-07,,
32,s.c75bbdc3-33fe-41ba-85eb-72c01b750d7f.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-07-45,,
